Date,hang_seng
2021-07-23,27321.98046875
2021-07-26,26192.3203125
2021-07-27,25086.4296875
2021-07-28,25473.880859375
2021-07-29,26315.3203125
2021-07-30,25961.029296875
2021-08-02,26235.80078125
2021-08-03,26194.8203125
2021-08-04,26426.55078125
2021-08-05,26204.689453125
2021-08-06,26179.400390625
2021-08-09,26283.400390625
2021-08-10,26605.619140625
2021-08-11,26660.16015625
2021-08-12,26517.8203125
2021-08-13,26391.619140625
2021-08-16,26181.4609375
2021-08-17,25745.869140625
2021-08-18,25867.009765625
2021-08-19,25316.330078125
2021-08-20,24849.720703125
2021-08-23,25109.58984375
2021-08-24,25727.919921875
2021-08-25,25693.94921875
2021-08-26,25415.689453125
2021-08-27,25407.890625
2021-08-30,25539.5390625
2021-08-31,25878.990234375
2021-09-01,26028.2890625
2021-09-02,26090.4296875
2021-09-03,25901.990234375
2021-09-06,26163.630859375
2021-09-07,26353.630859375
2021-09-08,26320.9296875
2021-09-09,25716.0
2021-09-10,26205.91015625
2021-09-13,25813.810546875
2021-09-14,25502.23046875
2021-09-15,25033.2109375
2021-09-16,24667.849609375
2021-09-17,24920.759765625
2021-09-20,24099.140625
2021-09-21,24221.5390625
2021-09-23,24510.98046875
2021-09-24,24192.16015625
2021-09-27,24208.779296875
2021-09-28,24500.390625
2021-09-29,24663.5
2021-09-30,24575.640625
2021-10-04,24036.369140625
2021-10-05,24104.150390625
2021-10-06,23966.490234375
2021-10-07,24701.73046875
2021-10-08,24837.849609375
2021-10-11,25325.08984375
2021-10-12,24962.58984375
2021-10-15,25330.9609375
2021-10-18,25409.75
2021-10-19,25787.2109375
2021-10-20,26136.01953125
2021-10-21,26017.529296875
2021-10-22,26126.9296875
2021-10-25,26132.029296875
2021-10-26,26038.26953125
2021-10-27,25628.740234375
2021-10-28,25555.73046875
2021-10-29,25377.240234375
2021-11-01,25154.3203125
2021-11-02,25099.669921875
2021-11-03,25024.75
2021-11-04,25225.189453125
2021-11-05,24870.509765625
2021-11-08,24763.76953125
2021-11-09,24813.130859375
2021-11-10,24996.140625
2021-11-11,25247.990234375
2021-11-12,25327.970703125
2021-11-15,25390.91015625
2021-11-16,25713.779296875
2021-11-17,25650.080078125
2021-11-18,25319.720703125
2021-11-19,25049.970703125
2021-11-22,24951.33984375
2021-11-23,24651.580078125
2021-11-24,24685.5
2021-11-25,24740.16015625
2021-11-26,24080.51953125
2021-11-29,23852.240234375
2021-11-30,23475.259765625
2021-12-01,23658.919921875
2021-12-02,23788.9296875
2021-12-03,23766.689453125
2021-12-06,23349.380859375
2021-12-07,23983.66015625
2021-12-08,23996.869140625
2021-12-09,24254.859375
2021-12-10,23995.720703125
2021-12-13,23954.580078125
2021-12-14,23635.94921875
2021-12-15,23420.759765625
2021-12-16,23475.5
2021-12-17,23192.630859375
2021-12-20,22744.859375
2021-12-21,22971.330078125
2021-12-22,23102.330078125
2021-12-23,23193.640625
2021-12-24,23223.759765625
2021-12-28,23280.560546875
2021-12-29,23086.5390625
2021-12-30,23112.009765625
2021-12-31,23397.669921875
2022-01-03,23274.75
2022-01-04,23289.83984375
2022-01-05,22907.25
2022-01-06,23072.859375
2022-01-07,23493.380859375
2022-01-10,23746.5390625
2022-01-11,23739.060546875
2022-01-12,24402.169921875
2022-01-13,24429.76953125
2022-01-14,24383.3203125
2022-01-17,24218.029296875
2022-01-18,24112.779296875
2022-01-19,24127.849609375
2022-01-20,24952.349609375
2022-01-21,24965.55078125
2022-01-24,24656.4609375
2022-01-25,24243.609375
2022-01-26,24289.900390625
2022-01-27,23807.0
2022-01-28,23550.080078125
2022-01-31,23802.259765625
2022-02-04,24573.2890625
2022-02-07,24579.55078125
2022-02-08,24329.490234375
2022-02-09,24829.990234375
2022-02-10,24924.349609375
2022-02-11,24906.66015625
2022-02-14,24556.5703125
2022-02-15,24355.7109375
2022-02-16,24718.900390625
2022-02-17,24792.76953125
2022-02-18,24327.7109375
2022-02-21,24170.0703125
2022-02-22,23520.0
2022-02-23,23660.279296875
2022-02-24,22901.560546875
2022-02-25,22767.1796875
2022-02-28,22713.01953125
2022-03-01,22761.7109375
2022-03-02,22343.919921875
2022-03-03,22467.33984375
2022-03-04,21905.2890625
2022-03-07,21057.630859375
2022-03-08,20765.869140625
2022-03-09,20627.7109375
2022-03-10,20890.259765625
2022-03-11,20553.7890625
2022-03-14,19531.66015625
2022-03-15,18415.080078125
2022-03-16,20087.5
2022-03-17,21501.23046875
2022-03-18,21412.400390625
2022-03-21,21221.33984375
2022-03-22,21889.279296875
2022-03-23,22154.080078125
2022-03-24,21945.94921875
2022-03-25,21404.880859375
2022-03-28,21684.970703125
2022-03-29,21927.630859375
2022-03-30,22232.029296875
2022-03-31,21996.849609375
2022-04-01,22039.55078125
2022-04-04,22502.310546875
2022-04-06,22080.51953125
2022-04-07,21808.98046875
2022-04-08,21872.009765625
2022-04-11,21208.30078125
2022-04-12,21319.130859375
2022-04-13,21374.369140625
2022-04-14,21518.080078125
2022-04-19,21027.759765625
2022-04-20,20944.669921875
2022-04-21,20682.220703125
2022-04-22,20638.51953125
2022-04-25,19869.33984375
2022-04-26,19934.7109375
2022-04-27,19946.359375
2022-04-28,20276.169921875
2022-04-29,21089.390625
2022-05-03,21101.890625
2022-05-04,20869.51953125
2022-05-05,20793.400390625
2022-05-06,20001.9609375
2022-05-10,19633.689453125
2022-05-11,19824.5703125
2022-05-12,19380.33984375
2022-05-13,19898.76953125
2022-05-16,19950.2109375
2022-05-17,20602.51953125
2022-05-18,20644.279296875
2022-05-19,20120.6796875
2022-05-20,20717.240234375
2022-05-23,20470.060546875
2022-05-24,20112.099609375
2022-05-25,20171.26953125
2022-05-26,20116.19921875
2022-05-27,20697.359375
2022-05-30,21123.9296875
2022-05-31,21415.19921875
2022-06-01,21294.939453125
2022-06-02,21082.130859375
2022-06-06,21653.900390625
2022-06-07,21531.669921875
2022-06-08,22014.58984375
2022-06-09,21869.05078125
2022-06-10,21806.1796875
2022-06-13,21067.580078125
2022-06-14,21067.990234375
2022-06-15,21308.2109375
2022-06-16,20845.4296875
2022-06-17,21075.0
2022-06-20,21163.91015625
2022-06-21,21559.58984375
2022-06-22,21008.33984375
2022-06-23,21273.869140625
2022-06-24,21719.060546875
2022-06-27,22229.51953125
2022-06-28,22418.970703125
2022-06-29,21996.890625
2022-06-30,21859.7890625
2022-07-04,21830.349609375
2022-07-05,21853.0703125
2022-07-06,21586.66015625
2022-07-07,21643.580078125
2022-07-08,21725.779296875
2022-07-11,21124.19921875
2022-07-12,20844.740234375
2022-07-13,20797.94921875
2022-07-14,20751.2109375
2022-07-15,20297.720703125
2022-07-18,20846.1796875
